trivial_baseline_id,trivial_baseline_winner_id,trivial_baseline_winner_score,support_n,symbol
"(-0.00115, -7.65e-05]|(-0.00041700000000000005, 0.00141]",ema_close_20_60_te020_tx000,1.0855451979879693e-05,898,AAPL
"(-0.00115, -7.65e-05]|(0.00141, 0.00191]",ema_close_10_30_te020_tx000,-9.961444157924114e-06,731,AAPL
"(-0.00115, -7.65e-05]|(0.00191, 0.00259]",ema_close_30_90_te005_tx000,-2.4196568563244334e-05,523,AAPL
"(-0.00115, -7.65e-05]|(0.00259, 0.0103]",ema_close_10_30_te010_tx000,0.002554920854118853,393,AAPL
"(-0.00653, -0.00115]|(-0.00041700000000000005, 0.00141]",ema_close_10_30_te020_tx000,-2.0390133096446397e-05,359,AAPL
"(-0.00653, -0.00115]|(0.00141, 0.00191]",ema_close_10_30_te010_tx000,-3.529163237076452e-05,589,AAPL
"(-0.00653, -0.00115]|(0.00191, 0.00259]",ema_close_30_90_te005_tx000,0.0002989631870048732,784,AAPL
"(-0.00653, -0.00115]|(0.00259, 0.0103]",ema_close_50_200_te005_tx000,0.0002389984464384707,813,AAPL
"(-7.65e-05, 0.00099]|(-0.00041700000000000005, 0.00141]",ema_close_10_30_te020_tx000,-9.575400547840996e-06,953,AAPL
"(-7.65e-05, 0.00099]|(0.00141, 0.00191]",ema_close_20_60_te020_tx000,-2.7179814943382435e-05,682,AAPL
"(-7.65e-05, 0.00099]|(0.00191, 0.00259]",ema_close_50_200_te005_tx000,3.523001814516239e-05,505,AAPL
"(-7.65e-05, 0.00099]|(0.00259, 0.0103]",ema_close_10_30_te010_tx000,0.00030800142413356217,405,AAPL
"(0.00099, 0.00577]|(-0.00041700000000000005, 0.00141]",ema_close_10_30_te020_tx000,-8.865573441574016e-06,335,AAPL
"(0.00099, 0.00577]|(0.00141, 0.00191]",ema_close_50_200_te005_tx000,0.00019715935259453853,543,AAPL
"(0.00099, 0.00577]|(0.00191, 0.00259]",ema_close_10_30_te020_tx000,1.0358475853234554e-05,733,AAPL
"(0.00099, 0.00577]|(0.00259, 0.0103]",ema_close_50_200_te020_tx000,0.00024081965748210557,934,AAPL
