trivial_baseline_id,trivial_baseline_winner_id,trivial_baseline_winner_score,support_n
"(-0.00033, 0.000599]|(0.00019000000000000006, 0.00172]",bollinger_both_close_w030_m25_e10,6.844133493743391e-05,15
"(-0.00033, 0.000599]|(0.00172, 0.00207]",bollinger_both_close_w030_m20_e05,2.2402324087752074e-05,12
"(-0.00033, 0.000599]|(0.00207, 0.00245]",bollinger_both_close_w020_m25_e00,0.0001586269243970943,11
"(-0.00033, 0.000599]|(0.00245, 0.00285]",bollinger_both_close_w030_m20_e00,0.00023131350817050058,7
"(-0.00157, -0.00033]|(0.00019000000000000006, 0.00172]",bollinger_both_close_w030_m25_e10,-6.843009250145915e-05,12
"(-0.00157, -0.00033]|(0.00172, 0.00207]",bollinger_both_close_w020_m20_e00,0.0005254398120467162,14
"(-0.00157, -0.00033]|(0.00207, 0.00245]",bollinger_both_close_w020_m25_e00,0.00025365868161991283,13
"(-0.00157, -0.00033]|(0.00245, 0.00285]",bollinger_both_close_w020_m20_e05,0.00027202952281439136,6
"(-0.00466, -0.00157]|(0.00019000000000000006, 0.00172]",bollinger_both_close_w030_m25_e10,0.0005596325574862312,9
"(-0.00466, -0.00157]|(0.00172, 0.00207]",bollinger_both_close_w030_m25_e10,0.0005932026636401376,11
"(-0.00466, -0.00157]|(0.00207, 0.00245]",bollinger_both_close_w030_m25_e10,0.00025127410915996016,10
"(-0.00466, -0.00157]|(0.00245, 0.00285]",bollinger_both_close_w020_m20_e05,0.0006251514318436365,15
"(0.000599, 0.00562]|(0.00019000000000000006, 0.00172]",bollinger_both_close_w020_m25_e10,-0.0010469704049274548,9
"(0.000599, 0.00562]|(0.00172, 0.00207]",bollinger_both_close_w020_m25_e00,-0.0006945884214413917,8
"(0.000599, 0.00562]|(0.00207, 0.00245]",bollinger_both_close_w020_m20_e10,0.00022519499760598194,11
"(0.000599, 0.00562]|(0.00245, 0.00285]",bollinger_both_close_w030_m20_e05,0.0007303384254724718,17
