symbol,bucket,abnormal_n,non_abnormal_n,delta_avg_abs_fwd_1d,delta_avg_abs_fwd_5d,delta_avg_abs_fwd_20d,delta_excursion_5d
AAPL,mega_technology,66,246,0.004254058312171162,-0.004522989957731108,0.0009000722281419654,0.0034801795556207715
ACHR,small_industrial_aerospace,89,223,0.015348783340152237,-0.0006985466072616103,-0.02921641521425003,0.026209314836140696
AMD,large_semiconductor_ai,60,252,0.009003466608972555,0.0015734588528478269,0.0042600643416211,0.005287934281166529
ASTS,small_communications_satellite,78,234,0.03326530685896631,0.03998790992116569,0.16919264416875102,0.06489259317826021
CAVA,mid_consumer_retail,65,247,0.007123633988189288,0.01578268066295118,0.005726782150102971,0.022599054528017984
COIN,large_crypto_sensitive,69,243,0.006135499684599685,0.023495894230985748,0.11246922833280598,0.03000377151178485
CVX,large_energy,74,238,0.0023311206282163686,-0.0017629707588666596,0.004412219946252453,-0.0004575750148014951
ELF,mid_consumer_retail,64,248,0.012085119191249383,0.010715335671381068,0.05245399247747279,0.02202864428530052
JPM,large_financials,61,251,0.0028452384974886856,0.0005067877689318954,0.013110994409527933,0.0029346951190727943
LLY,large_healthcare,60,252,0.002963615951336651,0.0038796571236285812,0.00897577755631819,0.004790981104889271
MSFT,mega_technology,70,242,8.826075380491752e-06,0.0032158948999434465,0.0023165411766780455,0.005588897234417037
NVDA,mega_semiconductor_ai,64,248,0.002745618844847586,-0.01348238639067062,-0.00955759691464697,-0.0028869784744109672
PFE,large_healthcare,70,242,0.0013149563658265313,0.006772838527377988,-6.642145455468262e-05,0.007145225663514776
RCAT,micro_defense_drone,96,216,0.020827610234678245,0.039961198055838726,-0.04492544805954435,0.06902825938146007
RKLB,mid_industrial_aerospace,68,244,0.00919601751511468,0.01001300318331956,-0.019308673673556848,0.021922148765017385
SAVA,micro_biotech_speculative,54,258,0.034536056379776345,0.06723327755333355,0.05804580387040936,0.09021343975859972
VKTX,small_biotech,70,242,0.001973535217205183,0.039463463511048555,0.06485117144027655,0.05713893032982667
XOM,large_energy,66,246,0.0033599226585367143,0.0017595956924496003,-0.006323578040878131,0.00483452694687727
