event_id,event_date,symbol,eps_forecast_present,actual_eps_present,surprise_present,no_of_estimates_present,future_eps_baseline_candidate_status
cal_906198bc754b,2026-05-18,APUS,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_31b43dfdf0ea,2026-05-18,BTAI,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_60f8defb21a0,2026-05-18,CBAT,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_424e4eec1541,2026-05-18,CLRO,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_7f7e267afdb5,2026-05-18,CRVO,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_ddf8ec97cb59,2026-05-18,DRTS,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_b8ba2ec59c15,2026-05-18,EDUC,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_7d25283b3a41,2026-05-18,HOTH,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_3d5164e2c9f7,2026-05-18,IMRX,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_9121c1477e6d,2026-05-18,IMTE,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_158483f6589f,2026-05-18,ISPC,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_172bbf7fbfde,2026-05-18,NAK,false,false,false,false,missing_eps_forecast_or_not_candidate
cal_f751ff7bf377,2026-05-18,NHIC,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_2accf24fe1ec,2026-05-18,PNRG,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_9801da82c631,2026-05-18,PROK,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_43757e15a3e4,2026-05-18,RICK,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_6a36285fcd75,2026-05-18,SB,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_3a50e6969493,2026-05-18,SCNX,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_86e71fdadc74,2026-05-18,SONM,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_cf697f28b3cd,2026-05-18,TCOM,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_697328354f76,2026-05-18,TRNS,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_fb3120545ce5,2026-05-18,VSTD,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_91973312cd5e,2026-05-18,WGRX,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_1143ace2de03,2026-05-18,WILC,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_152dbcbc12cf,2026-05-18,XYF,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_ead1ae539a5c,2026-05-18,ZEPP,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_9ff7c8c954fd,2026-05-18,AGPU,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_3483a70e33da,2026-05-18,BIDU,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_74445a00e3c7,2026-05-18,BRC,false,false,false,false,missing_eps_forecast_or_not_candidate
cal_3bd9af20dfe9,2026-05-18,CGEN,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_5b8e83d1b83b,2026-05-18,CISS,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_af7c5304d689,2026-05-18,DUOT,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_ed1eff705ddf,2026-05-18,IQ,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_1331a8910663,2026-05-18,NIU,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_f362fcdf2ca7,2026-05-18,NRXP,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_fe011159bcf2,2026-05-18,RNW,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_85b882a3cc64,2026-05-18,RYAAY,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_0e7d3b82a9c2,2026-05-18,SOHU,false,false,false,true,missing_eps_forecast_or_not_candidate
cal_6d6402679791,2026-05-18,TOYO,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_f783f403f42e,2026-05-18,AGYS,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_baf4335777ed,2026-05-18,FATN,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_4e433b97d57b,2026-05-18,XP,true,false,false,true,candidate_clean_future_eps_consensus_snapshot
cal_e62f13652b2d,2026-05-18,YALA,false,false,false,true,missing_eps_forecast_or_not_candidate
