accession_number,candidate_count,event_date,event_id,filing_date,form,primary_doc_description,primary_document,report_date,selected_for,symbol
0001628280-25-044845,4,2025-10-14,cal_04c87c2e8355,2025-10-14,8-K,8-K,jpm-20251014.htm,2025-10-14,official_result_artifact_visibility,JPM
0001628280-25-045968,3,2025-10-22,cal_624828d686c6,2025-10-23,10-Q,10-Q,tsla-20250930.htm,2025-09-30,official_result_metric_interpretation,TSLA
0001193125-25-256321,2,2025-10-29,cal_f6db2fe06339,2025-10-29,10-Q,10-Q,msft-20250930.htm,2025-09-30,official_result_metric_interpretation,MSFT
0000320193-25-000079,2,2025-10-30,cal_15791d9ff7af,2025-10-31,10-K,10-K,aapl-20250927.htm,2025-09-27,official_result_metric_interpretation,AAPL
0001679788-25-000208,2,2025-10-30,cal_4af090722fde,2025-10-30,10-Q,10-Q,coin-20250930.htm,2025-09-30,official_result_metric_interpretation,COIN
0000059478-25-000254,2,2025-10-30,cal_2389e42d2118,2025-10-30,10-Q,10-Q,lly-20250930.htm,2025-09-30,official_result_metric_interpretation,LLY
0000093410-25-000108,3,2025-10-31,cal_8e082a589731,2025-11-06,10-Q,10-Q,cvx-20250930.htm,2025-09-30,official_result_metric_interpretation,CVX
0000034088-25-000061,5,2025-10-31,cal_4bfaea404058,2025-11-03,10-Q,FORM 10-Q,xom-20250930.htm,2025-09-30,official_result_metric_interpretation,XOM
0000002488-25-000166,2,2025-11-04,cal_ed32ae7b473a,2025-11-05,10-Q,10-Q,amd-20250927.htm,2025-09-27,official_result_metric_interpretation,AMD
0000078003-25-000150,4,2025-11-04,cal_ace2cf7d166d,2025-11-04,10-Q,10-Q,pfe-20250928.htm,2025-09-28,official_result_metric_interpretation,PFE
0001819994-25-000021,2,2025-11-10,cal_f7ad7203a325,2025-11-10,10-Q,10-Q,rklb-20250930.htm,2025-09-30,official_result_metric_interpretation,RKLB
0001045810-25-000230,2,2025-11-19,cal_db9932651a59,2025-11-19,10-Q,10-Q,nvda-20251026.htm,2025-10-26,official_result_metric_interpretation,NVDA
