family_key,priority,routing_bucket,association_status,blocker_codes,next_action
earnings_guidance_scheduled_shell,high,earnings_guidance,direction_neutral_path_signal_observed_underpowered,coverage_underpowered;needs_more_seasons_symbols,Expand shell study across more seasons/symbols and rerun matched controls with market/sector/target-state adjustments.
earnings_guidance_result_metrics,high,earnings_guidance,partial_result_context_only,missing_pit_expectation_baseline;partial_metric_interpretation_only,Add PIT expectation baselines before any result-surprise association claim.
earnings_guidance_raise_cut_or_withdrawal,high,earnings_guidance,blocked_missing_current_comparable_guidance_context,missing_current_comparable_guidance_context;missing_pit_revenue_consensus_baseline,Acquire/interpret current official release/exhibit/transcript guidance and compare to PIT prior/consensus baselines.
earnings_call_narrative_residual,normal,symbol_news,blocked_missing_family_packet,missing_family_packet;missing_transcript_or_company_ir_route,Draft a separate narrative-residual packet after official result/guidance interpretation is available.
equity_offering_dilution,high,sec_filing,packet_needed_source_evidence_available,missing_family_packet;needs_offering_terms_parser;needs_matched_controls,"Create packet and extractor for offering amount, discount, proceeds use, balance-sheet stress, and filing timing."
buyback_or_capital_return,normal,sec_filing,blocked_missing_family_packet,missing_family_packet;needs_canonical_source_rules,Define buyback/capital-return packet and distinguish authorizations from actual repurchases.
mna_transaction,high,sec_filing,blocked_missing_family_packet,missing_family_packet;needs_deal_terms_and_resolution_clocks,"Create M&A packet with offer type, premium, consideration, regulatory risk, and resolution clock."
insider_or_ownership_change,normal,sec_filing,blocked_missing_family_packet,missing_family_packet;needs_form_specific_parser,"Split insider transaction, activist stake, passive ownership, and routine ownership forms before study."
legal_regulatory_investigation,high,sec_filing,blocked_missing_family_packet,missing_family_packet;needs_severity_taxonomy;needs_review_required_rules,"Create risk-first packet with source precedence, severity ladder, and human-review triggers."
accounting_restatement_or_fraud,high,sec_filing,blocked_missing_family_packet,missing_family_packet;needs_official_vs_allegation_split,Split official restatement/control weakness from news-only allegation before association study.
bankruptcy_or_restructuring,high,sec_filing,blocked_missing_family_packet,missing_family_packet;needs_distress_stage_lifecycle,"Create multi-stage distress packet with filing stage, financing, creditor, and resolution clocks."
product_launch_or_failure,normal,symbol_news,blocked_missing_family_packet,missing_family_packet;needs_news_interpretation_standard,Create product/customer news packet and source-quality rules before using headlines.
customer_contract_win_loss,normal,symbol_news,blocked_missing_family_packet,missing_family_packet;needs_materiality_rules,"Define customer/contract packet with size, duration, counterparty, and recurring/nonrecurring evidence."
management_change,normal,symbol_news,blocked_missing_family_packet,missing_family_packet;needs_departure_reason_taxonomy,"Split planned succession, resignation, termination, death/health, and activist-driven changes."
analyst_rating_or_price_target_change,normal,symbol_news,blocked_missing_family_packet,missing_family_packet;needs_source_identity_and_reiteration_rules,"Create analyst-action packet and separate initiation, upgrade/downgrade, target-only, reiteration, and consensus context."
supply_chain_disruption,normal,symbol_news,blocked_missing_family_packet,missing_family_packet;needs_scope_routing_rules,Create packet with direct-vs-readthrough scope and duration/materiality rules.
sector_regulation_policy,high,sector_news,blocked_missing_family_packet,missing_family_packet;needs_sector_scope_mapping,Create sector-regulation packet with affected industry mapping and official-vs-news source precedence.
commodity_or_input_cost_shock,normal,sector_news,blocked_missing_family_packet,missing_family_packet;needs_exposure_mapping,"Define commodity exposure map and split producer, consumer, and intermediary effects."
sector_demand_shock,normal,sector_news,blocked_missing_family_packet,missing_family_packet;needs_readthrough_rules,Create packet and separate direct company event from true sector read-through.
cpi_inflation_release,high,macro_data,packet_needed_source_evidence_available,missing_family_packet;needs_pit_consensus_surprise,"Create CPI packet with official release/source precedence, consensus/previous/revision, and rates/sector sensitivity labels."
fomc_rates_policy,high,macro_news,blocked_missing_family_packet,missing_family_packet;needs_official_calendar_and_statement_route,"Create FOMC/rates packet with scheduled shell, decision, statement, press-conference, and market-implied repricing split."
nfp_employment_release,normal,macro_data,blocked_missing_family_packet,missing_family_packet;needs_pit_consensus_surprise,"Create NFP packet with payroll, unemployment, wage, revision, and consensus fields."
treasury_yield_curve_shock,normal,macro_news,blocked_missing_family_packet,missing_family_packet;needs_rates_state_residual_definition,Define residual rates shock after Layer 1 rates/market-state controls.
credit_liquidity_stress,high,macro_news,blocked_missing_family_packet,missing_family_packet;needs_stress_severity_ladder,"Create stress packet with bank/credit/liquidity subtypes, severity, contagion scope, and review triggers."
geopolitical_or_fiscal_shock,normal,macro_news,blocked_missing_family_packet,missing_family_packet;needs_unknown_event_standard_review,Use unknown-event protocol to define reusable subfamilies before association study.
price_action_pattern,normal,price_action,blocked_missing_residual_definition,needs_residual_over_base_state;missing_family_packet,Define residual pattern standard and prove incremental value over base target-state features.
residual_market_structure_disturbance,normal,equity_abnormal_activity,blocked_missing_residual_definition,needs_residual_over_base_state;matched_controls_required,Build residual detector against Layer 1-3 states before any association study.
microstructure_liquidity_disruption,normal,equity_abnormal_activity,blocked_missing_liquidity_evidence,needs_liquidity_depth_evidence;needs_execution_risk_labels,"Create liquidity disruption packet with execution-quality labels, not directional price labels first."
option_derivatives_abnormality,high,option_abnormal_activity,matched_controls_failed_current_definition,matched_controls_failed;non_earnings_option_standard_saturated;needs_revised_abnormality_definition,Revise abnormality standard and revalidate controls before any promotion route.
