family_key,coverage_status,association_readiness_status,local_candidate_count,next_action
earnings_guidance_scheduled_shell,existing_empirical_study_underpowered_risk_shell,partial_ready_expand_shell_sample_controls,12,Expand shell study across more seasons/symbols and rerun matched controls with market/sector/target-state adjustments.
earnings_guidance_result_metrics,blocked_missing_pit_expectation_or_comparable_baseline,not_ready_build_pit_baseline_first,12,Persist PIT expectation/comparable baseline artifacts before empirical association.
earnings_guidance_raise_cut_or_withdrawal,blocked_missing_pit_expectation_or_comparable_baseline,not_ready_build_pit_baseline_first,12,Persist PIT expectation/comparable baseline artifacts before empirical association.
earnings_call_narrative_residual,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,52,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels."
equity_offering_dilution,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,Add or backfill the accepted source/parser route for this family before association measurement.
buyback_or_capital_return,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,Add or backfill the accepted source/parser route for this family before association measurement.
mna_transaction,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,Add or backfill the accepted source/parser route for this family before association measurement.
insider_or_ownership_change,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,Add or backfill the accepted source/parser route for this family before association measurement.
legal_regulatory_investigation,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,Add or backfill the accepted source/parser route for this family before association measurement.
accounting_restatement_or_fraud,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,Add or backfill the accepted source/parser route for this family before association measurement.
bankruptcy_or_restructuring,no_local_candidate_events_found_under_current_sources,not_ready_expand_source_or_parser_first,0,Add or backfill the accepted source/parser route for this family before association measurement.
product_launch_or_failure,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,35,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels."
customer_contract_win_loss,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,48,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels."
management_change,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,83,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels."
analyst_rating_or_price_target_change,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,37,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels."
supply_chain_disruption,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,34,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels."
sector_regulation_policy,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,304,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels."
commodity_or_input_cost_shock,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,20,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels."
sector_demand_shock,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,32,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels."
cpi_inflation_release,existing_empirical_studies_risk_only_needs_canonical_history,partial_ready_risk_only_after_fuller_te_history,4,Complete fuller TE expectation-history route and rerun CPI surprise association using canonical rows.
fomc_rates_policy,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,43,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels."
nfp_employment_release,blocked_missing_pit_expectation_or_comparable_baseline,not_ready_build_pit_baseline_first,2,Persist PIT expectation/comparable baseline artifacts before empirical association.
treasury_yield_curve_shock,blocked_missing_residual_detector,not_ready_build_residual_detector_first,10,Implement residual-over-base-state detector before event labels are accepted.
credit_liquidity_stress,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,12,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels."
geopolitical_or_fiscal_shock,local_candidates_found_interpretation_required,candidate_ready_for_interpretation_then_association,87,"Interpret local candidate events, deduplicate canonical events, then build matched-control price/path labels."
price_action_pattern,blocked_missing_residual_detector,not_ready_build_residual_detector_first,0,Implement residual-over-base-state detector before event labels are accepted.
residual_market_structure_disturbance,blocked_missing_residual_detector,not_ready_build_residual_detector_first,0,Implement residual-over-base-state detector before event labels are accepted.
microstructure_liquidity_disruption,blocked_missing_liquidity_depth_evidence,not_ready_build_liquidity_depth_route_first,0,Build liquidity/depth/execution-risk evidence before directional price labels.
option_derivatives_abnormality,existing_empirical_studies_deferred_low_signal,not_ready_revise_abnormality_definition_before_retest,3,Revise abnormality definition before retesting matched controls.
