activity_hypothesis,avg_directional_underlying_fwd_10d,avg_directional_underlying_fwd_1d,avg_directional_underlying_fwd_5d,avg_option_contract_long_fwd_10d,avg_option_contract_long_fwd_14d,avg_option_contract_long_fwd_1d,avg_option_contract_long_fwd_5d,directional_underlying_hit_rate_10d,directional_underlying_hit_rate_1d,directional_underlying_hit_rate_5d,n,option_contract_long_hit_rate_10d,option_contract_long_hit_rate_14d,option_contract_long_hit_rate_1d,option_contract_long_hit_rate_5d,symbol
ask_side_call_activity,-0.020046710782405497,0.01086674451797065,0.013591540158297777,-0.7953846153846154,-0.9907692307692307,0.2615384615384615,0.29384615384615387,0.0,1.0,1.0,2,0.0,0.0,1.0,1.0,JPM
ask_side_put_activity,0.020046710782405497,-0.01086674451797065,-0.013591540158297777,0.2293333333333334,0.3426666666666667,-0.2506666666666667,-0.4226666666666666,1.0,0.0,0.0,6,1.0,1.0,0.0,0.0,JPM
ask_side_call_activity,0.0729557898547446,-0.017749671930856636,0.08978913072989725,0.6172506738544474,1.8930817610062896,-0.21316262353998203,0.9254267744833783,1.0,0.0,1.0,5,1.0,1.0,0.0,1.0,LLY
ask_side_put_activity,-0.0729557898547446,0.017749671930856636,-0.08978913072989725,-0.9761965054444163,-0.9992403140035452,0.13699670802734865,-0.9151683970625475,0.0,1.0,0.0,2,0.0,0.0,1.0,0.0,LLY
ask_side_call_activity,0.033274115331060505,0.04004417342872224,-0.04715033370144539,0.11521418020679475,2.825701624815362,0.7518463810930576,-0.7592319054652881,1.0,1.0,0.0,20,1.0,1.0,1.0,0.0,NVDA
ask_side_put_activity,-0.033274115331060505,-0.04004417342872224,0.04715033370144539,-0.7175,-0.995,-0.39375000000000004,0.58125,0.0,0.0,1.0,13,0.0,0.0,0.0,1.0,NVDA
ask_side_call_activity,0.3236696787148594,0.03275602409638556,-0.010918674698795261,2.4951048951048946,6.3552447552447555,0.16083916083916083,-0.2797202797202797,1.0,1.0,0.0,4,1.0,1.0,1.0,0.0,RKLB
ask_side_put_activity,-0.3236696787148594,-0.03275602409638556,0.010918674698795261,-0.9755102040816327,-0.998639455782313,-0.19999999999999996,-0.1428571428571428,0.0,0.0,1.0,9,0.0,0.0,0.0,0.0,RKLB
ask_side_call_activity,-0.029145121214156244,-0.004835135316634154,0.025787388355382523,-0.8602409638554217,-0.34698795180722897,-0.12048192771084343,0.30120481927710835,0.0,0.0,1.0,7,0.0,0.0,0.0,1.0,XOM
ask_side_put_activity,0.029145121214156244,0.004835135316634154,-0.025787388355382523,0.14516129032258052,-0.9290322580645162,-0.07741935483870976,-0.567741935483871,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,XOM
